user_question,label_2
"Добрый день. При загрузке видео загружаем изображение обложки, но после загрузки обложка не видна.  видео выходит ошибка «не удалось обновить оложку» Помогите с проблемой, подскажите как загрузить на видео обложки, какой она должна быть",Загрузка видео
"Добрый день, не загружается обложка видео, пишет странный размер - не мене 320 - 320, это что то новое?",Загрузка видео
любую обложку на видео можно загрузить или как?,Загрузка видео
Здравствуйте разработчики приложение студии на андроид классное у меня вопрос можно загружать видео на это приложение ,Загрузка видео
"Доброго времени суток. Я здесь новенькая, подскажите, пожалуйста, можно загружать видео? Отправлено с Студия RUTUBE на Android",Загрузка видео
Здравствуйте! какие размеры Обложки ролика. Браузер Яндекс.,Загрузка видео
"какой обложку надо сделать, чтобы на сериал мой личный установить?",Загрузка видео
размер фотографии к ролику можно сделать 500мб?,Загрузка видео
"Мне надо 3 коммента закрепить, как?",Комментарии
до сколких сособщений зрителей по плеером можно вверху прикрепить прям под видео?,Комментарии
можно только чужие кооменты закруплять ? Или и чужой и свой могу?,Комментарии
"Что за раздел shorts, это такие видео?",Воспроизведение видео
"Почему некоторые видео называются ""shorts"", что это?",Воспроизведение видео
"Иногда попадаются в ленте ролики, называются ""SHORTS"", что это означает?",Воспроизведение видео
Какого формата должны быть шортс?,Загрузка видео
"Хочу загрузить шортс, какие у вас требования к таким видео?",Загрузка видео
"Я выложил shorts на 20 секунд, а можно длительность меньше?",Загрузка видео
Насколько коротким может быть видео shorts?,Загрузка видео
"Хочу загрузить shorts, как это сделать?",Загрузка видео
Как грузить ролики шортс на Rutube?,Загрузка видео
"Как загрузить видео, чтобы оно было ""shorts""?",Загрузка видео
"На ютубе смотрел shorts, где у вас такие посмотреть?",Воспроизведение видео
Где у вас раздел с шортс?,Воспроизведение видео
"Не могу найти, где посмотреть шортсы?",Воспроизведение видео
"Нужно ли мне в описании и названии писать ""shorts"", чтобы попасть в подборку?",Загрузка видео
"Хочу загрузить свои шортс в подборку, обязательно ли мне для этого ставить хэштег #Shorts?",Загрузка видео
А сколько всего видео может быть в разделе Shorts на главной?,Загрузка видео
Сколько максимум роликов может попасть в подборку Shorts?,Загрузка видео
"Почему одни и те же видео в разделе Shorts и не обновляются, хотя я их уже все посмотрел?",Система рекомендаций
Как обновить подборку роликов в Shorts?,Система рекомендаций
"Загрузил к вам шортс, где мне его теперь найти?",Загрузка видео
"Не могу найти свой ролик shorts, помогите",Загрузка видео
"А как включить shorts, чтобы он был горизонтально?",Воспроизведение видео
"Мне не удобно смотреть свои шортс вертикально, как переключиться на горизонтальный плеер?",Воспроизведение видео
А шортсы всегда будут вертикально отображаться или можно их как-то свернуть их в горизонтальный плеер?,Воспроизведение видео
"Что ни включи все пишет, чтобы смотрел на сайте, какой смысл в приложении тогда?",Недоступность видео
"Включаю видео, а там ""контент недоступен"" и предлагает идти на сайт",Недоступность видео
Есть ли у вас управление клавишами?,Управление плеером
"Горячии клавиши у вас вроде работают как в ютубе, а есть список всех команд?",Управление плеером
"Не смог найти, как управлять с клавиатуры видео",Управление плеером
Я могу встроить трансляцию на свой сайт?,Встраивание видео
"Планируем проводить стрим через Rutube и разместить плеер на главной нашего сайта, это можно сделать?",Встраивание видео
"Есть ли у вас функция, чтобы встроить стрим на сайт?",Встраивание видео
"Я хочу провести трансляцию чтобы ее не видно было на рутубе, а разместить ее на сайте для своих платных подписчиков, так получится сделать?",Встраивание видео
"Если я провожу приватную трансляцию, ее можно встроить на другой сайт?",Встраивание видео
На Rutub доступно встраивание приватных стримов на другие сайты?,Встраивание видео
"Случайно запустил закрытую трансляцию и не заметил, я могу открыть хотя бы ее запись теперь?",Загрузка видео
Приватную запись трансляции можно сделать доступной для всех?,Загрузка видео
Возможно ли поменять настройки приватности потом у записи трансляции?,Загрузка видео
Что значит эмбед?,Встраивание видео
"Что дает ""эмбедирование""?",Встраивание видео
Встраивание это что?,Встраивание видео
"Хотим разместить ваш плеер на нашем сайте, расскажите подробнее как это сделать?",Встраивание видео
А можно видео с рутуба на другом сайте вставить чтобы плеером было красиво?,Встраивание видео
А какие-нибудь настройки есть для встраиваемых видео?,Встраивание видео
У вас поддерживаются настройки при встраивании видео?,Встраивание видео
Что можно настроить у эмбедов?,Встраивание видео
Какие параметры можно поменять у встроенного плеера?,Встраивание видео
"А можно будет поменять внешний вид у встроенного видео? Например, размер поменять, можно?",Встраивание видео
"Я записываю мастерклассы для своих учеников и размещаю их на сайте. Мне важно, чтобы видео были недоступны всем и только на сайте их было видно, кому дам страницу. Как мне правильно добавить скрытые видео на свой сайт?",Встраивание видео
Как добавить к себе на сайт приватное видео?,Встраивание видео
"Хочу набрать миллион подписчиков на Рутубе :) посоветуйте, какую мне обложку выбрать на видео чтобы зрителям нравилось?",Загрузка видео
"Есть ли у вас наставления для начинающих блогеров, как лучше оформлять видео и обложки, чтобы продвигаться на Rutube?",Загрузка видео
Какие требования к оформлению контента на вашей платформе для продвижения?,Загрузка видео
"Я сняла поздравления для внучка, а как мне его теперь загрузить к вам или только блогееры к вам могут загружать?",Загрузка видео
как разместить видо на платформе?,Загрузка видео
"Какие условифмя должны быть, чтобы видео загрузилось?",Загрузка видео
"Какие параметры должны быть у аидеоо ролика, чтобы он успешно загрузился?",Загрузка видео
не могу загрущить видео возникла ошибка,Загрузка видео
ошибка при загрузке видео,Загрузка видео
"У моего видео звук отстает от видео, что делать?",Загрузка видео
"Что делаеть, если видео отстает от звука, такого не должно быть вот оригинал",Загрузка видео
"Я уже подверждал e-mail, но во время загрузки видео снова просит",Загрузка видео
"возникает какято-то ошибка, просит подвердить мыло при загрузке видео, но ранее подтверждала",Загрузка видео
не могу пасматреть видео из-за ошибки что это?,Воспроизведение видео
появляется ошибка перед тем как запустить видео,Воспроизведение видео
почему такое низкое качество у видео?,Воспроизведение видео
видео которое я смотрю в очень низком качестве,Воспроизведение видео
Почнм нельзя смотреть видео в хорошем качестве?,Воспроизведение видео
К какой категории относится мой клип,Загрузка видео
Как правильно выбрать категорию?,Загрузка видео
Не могу нати кнопки включения субтитров,Управление плеером
"Хочу посмотреть видео с субтитрами, куда жать?",Управление плеером
Автосубтитры? Это как?,Загрузка видео
Что за автоматические субтитры?,Загрузка видео
"Какие у вас правила для того, чтобюы я мог добавить субтитры?",Загрузка видео
Напишите правила для раазмещения субтитров,Загрузка видео
Какие правила размещения субтитров,Загрузка видео
Как изменить видеоролик?,Загрузка видео
Как мне изменить мой ролик?,Загрузка видео
Какой формат видео могу загрузить?,Загрузка видео
Какое видео могу загрузить?,Загрузка видео
"Какие требования для загрузки, вес, качество и тд",Загрузка видео
Технические требования для обложки видео?,Загрузка видео
Какая должна быть обложка по размеру?,Загрузка видео
Сколько видео сразу могу поставть на загрузку?,Загрузка видео
я МОГУ ЗАГРУЗИТЬ 10 ВИДЕО СРАЗУ?,Загрузка видео
Можно ли разместить видео с вертикальной ориентацией?,Загрузка видео
Можно загрузить вертикальное видео?,Загрузка видео
Как загрузить видос в 360?,Загрузка видео
Можно ли понаромное фидео выложить?,Загрузка видео
