user_question,label_2
как мне выдать доступы к студии канала через приложение Студия RUTUBE?,Студия RUTUBE
уже можно настраивать доступп к студии через приложение?,Студия RUTUBE
Как управлять другим каналом через приложение Студия RUTUBE?,Студия RUTUBE
"могу я делать что-то на канале другого человека в приложении студия, если дали доступ?",Студия RUTUBE
"Можно скрыть разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",Навигация
"Можно ли менять местами  разделы во вкладке ""Обзор"" в приложении Студия RUTUBE?",Навигация
Можно ли увидеть аналитику по конкретному видео в приложении Студия RUTUBE?,Студия RUTUBE
в приложении Студия как увидеть аналитику по всем видео?,Студия RUTUBE
"Доброй ночи, возможно мои пожелания с 99% не учтут но все же ) Добавьте аналитику по все видео  в обычном приложении студии тоже было бы не плохо Добавил 4,5 скрин - как то скудно он выглядит на фоне других и не так удобно надеюсь на то что вы станете на 1 месте пока что в России а дальше и по миру",Студия RUTUBE
сколько денег я заработал за видео в приложении студии?,Монетизация
"Где посмотреть доход по ролику ""Тундра""? В студии не вижу, на сайте чтоль надо",Монетизация
Как в студии рутуба на телефоне подать заявку на монетизацию?,Монетизация
в студии рутуба вообще что ль нельзя документы на монетизацию отправить?,Монетизация
Как в студии рутуба на телефоне создать свой плейлист?,Студия RUTUBE
в студии рутуба вообще что ль нельзя плейлисты делать?,Студия RUTUBE
Можно в студии в приложении грузить видео?,Студия RUTUBE
загружать можно только в обычно приложении или в приложении студии тоже?,Студия RUTUBE
Как в приложении Студия RUTUBE создавать трансляции?,Трансляция
"запусть трансляции можно только на сайте студии, как это в студии приложения сделать?",Трансляция
"Как отсортировать видео по статусу в категории ""Модерация/Отклонено"" в приложении Студия RUTUBE?",Навигация
как мне отклоненные видео отсортировать в студии на телефоне?,Навигация
"Как мне сстудии посмотреть что мне ответили в комментариях, я не могу найти это в приложении айос",Студия RUTUBE
"Где в приложении студии на айфон раздел ""Комментарии""?",Студия RUTUBE
уже организовали работу с комментариями в студии на смарфтоне или нет? Мне надо обновляться в appstore или нет?,Студия RUTUBE
перенести видео в приложеиии нлельзя что ль? С ютуба только на сайте можно?,Студия RUTUBE
в студии ios есть испорт видео с YouTub? Разом что б все,Студия RUTUBE
"Здравствуйте. Скажите, пожалуйста, можно дли дать доступ к управлению каналом администратору и как его назначить в риложении студии?  есть ли у нас где-то инструкция?",Студия RUTUBE
"Добрый день!Как мне создать доступ для администратора канала, чтобы он смог автономно заходить и размещать видео и пр. через приложение студии",Студия RUTUBE
Не понимаю как управлять каналом другим с тудии рутуба на смартфоне,Студия RUTUBE
