user_question,label_2
я хочу начать трансляцию но на телефоне студия для андроид,Управление трансляцией
"скачала студию с рустора, как запустить стрим?",Управление трансляцией
есть возможность запуска стримой для студии андроида?,Управление трансляцией
Здравствуйте а как можно запустить трансляцию в студии ноо я на хуавее?,Управление трансляцией
"Здравствуйте, есть проблема нужна ваша помощь с приложением студии рутуба, устанавлиявал с ру маркета. У меня два канала в рутубе. В одном из них - основном, в качестве логина используется мой номер телефона. На другом основном канале в качестве логина эл поста. На основном канале хочу запустить трансляцию,  тут так можно?",Управление трансляцией
Не могу посмотреть СТС!,ТВ-эфиры
"Как смотреть эфир ренТВ, почему-то недоступно?",ТВ-эфиры
Что за трансляции у вас на сайте?,Управление трансляцией
"Увидел на рутубе трансляции, это тоже что и видео?",Управление трансляцией
А стримить - это как?,Управление трансляцией
Я смогу стримить в приложении?,Управление трансляцией
А с телефона можно стримить на рутуб?,Управление трансляцией
"Скачала ваше приложение, хотела записать стрим как гуляю по городу - у вас это можно в приложении?",Управление трансляцией
На Rutube любой может стримить?,Управление трансляцией
Кому можно проводить трансляции на вашем сайте?,Управление трансляцией
Я смогу стримить на Рутуб?,Управление трансляцией
"У нас планируется мероприятие, хотели запустить по нему сразу несколько прямых трансляций, такое возможно у вас?",Управление трансляцией
Могу я запустить несколько стримов?,Управление трансляцией
А сколько трансляций можно запустить одновременно?,Управление трансляцией
"Я сегодня буду стримить на своем ютуб канале, хотел запустить сразу на рутуб тоже, так можно?",Управление трансляцией
"Если я уже стримлю через ВК, я смогу на Рутуб запустить стрим?",Управление трансляцией
На моих стримах будет реклама?,Просмотр трансляции
Вы показываете рекламу на трансляциях?,Просмотр трансляции
"А реклама будет, если я запущу стрим?",Просмотр трансляции
Приватная трансляция это как?,Управление трансляцией
Чем отличается приватная трансляция от обычной?,Управление трансляцией
"Увидел в настройках трансляции ""доступ по ссылке"", что это такое?",Управление трансляцией
"Хочу провести приватную трансляцию, будет ли ее видно на моем канале для подписчиков?",Просмотр трансляции
"А трансляцию ""по ссылке"" как-то можно увидеть на моем канале?",Просмотр трансляции
Какие у вас требования к потоку?,Управление трансляцией
Какой битрейт выставлять для трансляции?,Управление трансляцией
Есть ли на Рутуб стримы в 60fps?,Просмотр трансляции
