user_question,label_2
"Помимо обычного рутуба есть какое-то приложение для автора, что это?",Персонализация
Сделайт уже студию для андроида,Персонализация
"не хочу пользоваться студией с ноутбука, хочу с телефона",Персонализация
Что можно делать в приложени ситудии?,Персонализация
Никак с приложения нельзя посмотреть аналитику по каналу?,Персонализация
"Какой логин указывать в студии на смартфоне? Вхожу первый ра, у меня айфон 12, если надо",Регистрация/Авторизация
Можно ли регистрироваться в студии приложении ios на почту?,Регистрация/Авторизация
Какой логин указывать в студии на смартфоне? Забыла почта или номер нужен,Регистрация/Авторизация
Можно ли регистрироваться в студии приложении на почту?,Регистрация/Авторизация
МОЖНО ПОВТОРНО ВОЙТИ В ПРИЛОЖЕНИЕ СТУДИИ?,Регистрация/Авторизация
"Можно ли сделать так, чтобы в приложении студии и обычном приложении рутуба был один канал?",Регистрация/Авторизация
как можно выполнить вход в приложении Студия RUTUBE с пароле или без?,Регистрация/Авторизация
Обязательно ли код вводить при входе в студию?,Регистрация/Авторизация
Как без проверочного кода зайти в приложении студии?,Регистрация/Авторизация
Как можно выйти со всех устройств в пиложении студии? ,Персонализация
напишите пошагово действия как выйти из канала в приложении Студия RUTUBE,Персонализация
я могу вообще выйти из студии на айфоне?,Персонализация
какие данные можно менять в приложении Студия RUTUBE?,Персонализация
Как в приложении Студия RUTUBE мне изменить дату рождения?,Персонализация
Как в приложении Студия RUTUBE изменить номер телефона?,Персонализация
можно обновить в приложении Студия RUTUBE описание канала?,Персонализация
Где можно изменить название канала в студии на смартфорне?,Персонализация
как удалить канал в приложении Студия RUTUBE,Удаление аккаунта
"Здравствуйте ! Хочу удалить аккаунт, а кнопки удаления вроде нету ни в профиле, ни в студиии приложении. Как удалить?",Удаление аккаунта
как изменить фотку профиля в приложении студии?,Персонализация
можно ли в приложении Студия RUTUBE поменять фотографию канала?,Персонализация
Что не так может быть с обложкой канала?,Персонализация
"Добрый день, не загружается обложка канала, пишет странный размер - не более 2204",Персонализация
проблемы со входом в приложении Студия RUTUBE,Регистрация/Авторизация
"какая почта, если проблемы со входом на акаунт студии, и что указать",Регистрация/Авторизация
"Помимо студии на сайте есть какое-то приложение для автора, оно ваше? Там почти также как в веб версии?",Персонализация
Сделайт уже студию для айфона,Персонализация
что за студия для смартфоно?,Персонализация
"функионал обычного приложения и студии для самсунга отличаются или нет? Меня конкрутно студия инстресует, что там можно",Персонализация
"Загрузка и редактирование видео, создание и редактирование плейлистов и трансляций доступно в приложении Студия RUTUBE?",Персонализация
Какой логин указывать в студии на смартфоне? Вхожу первый раз на самсунге,Регистрация/Авторизация
Можно ли регистрироваться в студии приложении для андоида на телефон?,Регистрация/Авторизация
Забыла почта или номер нужен для входа  в прилу студии че делать,Регистрация/Авторизация
Могу зайти в студию приложение на андроид по номеру телефона? Также как на сайте или как надо то ничего не понятно сделайте уже яснее,Регистрация/Авторизация
можно сделать один аккунт и для сайта идля студии на смартфоне? Или надоразные,Регистрация/Авторизация
"Я ЗАРЕГИСТРИРОВАЛСЯ НА САЙТЕ, мне нада 2 профиль для студии на смартфоне или нет?",Регистрация/Авторизация
когда ответите уже как зайти без кода то в студию приложени?,Регистрация/Авторизация
надо обязательно ввести код? Чтобы подключить студию на смартфон,Регистрация/Авторизация
почему то туда отсылает Код...Как такое вообще возможно????? Как зайти без кода?????,Регистрация/Авторизация
Как выйти из акаунта в приложении студии?  ,Персонализация
"Здравствуйте!Как выйти из чужого аккаунта стдии на анроиде, чтобы зайти под моим аккаунтом?С уважением,Дмитрий",Персонализация
Я же указал дату рождения в профиле… а как в рутубе студии на хуавее изменить остальные данные,Персонализация
"Немого настроить профиль. Настраиваю пол, куда вписать, могу это сделать в студии на смартфоне?",Персонализация
в андроиде студии как изменить название канала?,Персонализация
"можно свой ник сделать ""Кулинария"" в приложении Студия на андроиде?",Персонализация
"Добрый день.Я бы хотел удалить канал  так как не могу понять.Подскажите, пожалуйста, как это сделать? --Админ Тио Андроид студия",Удаление аккаунта
 здравствуйте прошу удалить аккаунт в студии на вашем канале так как случайно зарегистрировалась повторноудалить аккаунт необходимо с привязкой по номеру телефона скриншот в приложении --Надежда,Удаление аккаунта
"Здравствуйте, подскажите как загрузить обложку со смартфона на канал, в студии окноесть такое?",Персонализация
"добрый день, можно приимерить другую обложку канала в студии на телефоне или нет?(",Персонализация
Как поменять обложку в профиле канала в рутуп стутии?,Персонализация
"приложение студии 50/50 сыровато дизайн как для дедушек если было бы более мимолистично по типу как в ютубе было бы имба и скажите пожалуйста какую обложку можно загружать на канала, не могу разобраться ",Персонализация
"На 4 с минусом на момент начала 2021гПоследние пять лет сколько не заходил  на РuTube то сразу закрывал страницу. Какой-то совершенно невнятный интерфейс и неясно можно грузить обложку или нет и какую,хочу поменять уже оформление канала",Персонализация
Добрый день! Не получается загрузить обложку к каналу. Формат что ль не тот . Подскажите пожалуйста,Персонализация
какой должна быть обложка канала? По размерам и прочему,Персонализация
Добрый вечер!!! Хотел бы уточнить как я могу посмотреть аналитику видео в приложении студия на андроиде?,Аналитика
"Здравствуйте.Подскажите пожалуйста, где в мобильном приложении (скачивала из гугл стора) найти аналитику Rutube студию. можно смотреть аналитику на ролик на сайте и так далее.А в смартфоне вообще не могу найти, тыкая на аватарку попадаем в настройки.Спасибо за помощь.",Аналитика
"Добрый вечер. перешел с ютуба и не могу найти где посмотреть аналитику одного видео а не всех на моем канале , подскажите как и где это можно посмотреть в студии на хуавей?",Аналитика
"Не могу зарегаться в приложении. Захочу написать, куда",Регистрация/Авторизация
вам надо че нибудь скидывать если на хелп опишу проблему со входом?,Регистрация/Авторизация
"для чего нужна эта функция, она что-то дает? чтобы другие могли подключиться к моему каналу?",Персонализация
мне надо давать пароль свой если дам доступ коллеге в студии?,Персонализация
"я зашел в настройки, где тут это поле,куда нао списывать логин другого канала, мне надо быстрее настроить, чтобы могли за меня грузить. Ответьте.",Персонализация
"мне надо куда зайти, чтобы оформить роли доступов?",Персонализация
Чтобы дать доступ что надо списывать в поле пользователя?,Персонализация
"могу присоещдинить канал к моейс студии, если нет номера телефона на том канале, точно почта?",Персонализация
как мне дать досутп к канал другу?+A204A203:A2A200:A250,Персонализация
как названчить администратора канала?,Персонализация
как мне дать доступ по ссылке на канал автора,Персонализация
можно администратора на канал присоединить по айди?,Персонализация
сколько человек можно сделать администраторами?,Персонализация
50 ролей для 2-х каналов или 1?,Персонализация
"я работаю в группе компаний, у кажой компании есть канал свой, их около 70. Они могут все дать мне лоступ на управление каналами в настройках или есть лимит?",Персонализация
Сколько студий мне могут дать в управление? Есть максимум?,Персонализация
ограничения на выдачу ролей мне однму аккаунту есть? Могут мне все разрешить управлять своим акком?,Персонализация
"максимально 100, 200 или сколька каналав мне могут одновременно дать мне права?",Персонализация
"я не хочу управлять чужой студией, как отключиться?",Персонализация
"я дам управление другим, но потом они должны отказаться от доступа, как это сделать?",Персонализация
"Не могу найти список каналов, которыми управлять могу",Персонализация
у вас нет списка да? Студий котрыми управляю,Персонализация
сколько ролей есть вообще в студии?,Персонализация
какие доступы есть в студии?,Персонализация
"Ест редактор обычняй и с ограниченными правами, модератор, доступ с правами просмотра и с ограниченными правами просмотра, это все или еще есь?",Персонализация
"значю только редактор есть и модератор, а какие еще могу дать каналам расширения?",Персонализация
Что редактор сможет делать на моем канале?,Персонализация
редактор может канал удалить?,Персонализация
а че только 50 чел могу подключить на управление каналом?,Персонализация
сколько редакторов могу сделать на рутупе?,Персонализация
"у нас 1 канал на всех, около 16 чел, можно всем вместе списаться на доступ расширенный самый?",Персонализация
"мне дали в рутубе редактора, но права ограничены, к чему у меня доступа не будет?",Персонализация
ограниченыые права редактора я загрузать видео смогу?,Персонализация
"хочу дать доступ моему коллеге ,чтобы мог за монетизацией следить, пока я буду недосупен, но не хочу, чтобы гразил видео и т.д. дам ролт с ограничемнными права типо редактор, так ок?",Персонализация
"У меня телеканал, я хочу каждому сотруднику дать рол редактора, их человек 70, сможем так сделать?",Персонализация
какое ограничение на количество каналов которым дам доступ в рутубе? 10 чел могут управлять моим каналам?,Персонализация
50 ролей могу дать эту суммарно по всем каналам моим или нет? ,Персонализация
Что может делать Модератор комментариев в cтудии?,Персонализация
Может ли пользователь с ролью Модератор управлять комментариями в Студии?,Персонализация
"Добавил в cтудии Модератора комментариев, он сможет отвечать на комментарии на моих видео?",Персонализация
Сколько модераторов я могу добавить на канал?,Персонализация
Модератор комментариев может быть только один на канале или можно добавить несколько?,Персонализация
Что может делать Пользователь с правами просмотра в cтудии?,Персонализация
"Не понимаю, чем отличается роль пользователя с правами просмотра?",Персонализация
Сколько пользователей с правами просмотра я могу добавить на канал?,Персонализация
Я могу назначить только одного пользователя с правами просмотра или их может быть несколько?,Персонализация
Что доступно пользователю с ограниченными провами просмотра?,Персонализация
"Я добавил пользователя с органиченными правами просмотра, что он может делать на моем канале?",Персонализация
Сколько я могу добавить на канал пользователей с ограниченными правами просмотра?,Персонализация
Сколько всего на одном канале может быть пользователей с ограниченными правами просмотра?,Персонализация
"Хочу назначить модератора для работы с комментариями на свой канал, какую роль мне выбирать для этого?",Персонализация
"Какие права выдавать пользователю, если мне нужно, чтобы он модерировал комментарии у меня на канале?",Персонализация
Работа с комментариями доступна только для роли модератор или для других тоже?,Персонализация
Как будут отображаться действия редакторов на моем канале?,Персонализация
"Будет ли видно зрителям, что комментарий оставил модератор моего канала или будет отображаться, будто я написал?",Персонализация
"Где найти ролики, которые я посмотрел?",Персонализация
"Куда сохраняется история, что я смотрел?",Персонализация
Как мне удалить видео из истории?,Персонализация
Можно ли очистить список просмотренного на аккаунте?,Персонализация
"У нас дома два телевизора на кухне и в комнате, я могу их все подключить к своему аккаунту?",Регистрация/Авторизация
